SK_ID_CURR,TARGET
100001,1
100005,1
100013,1
100028,1
100038,1
100042,1
100057,1
100065,1
100066,1
100067,1
100074,1
100090,0
100091,1
100092,1
100106,1
100107,1
100109,1
100117,0
100128,1
100141,1
100150,1
100168,1
100169,1
100170,1
100171,1
100172,1
100184,0
100187,0
100212,1
100222,1
100223,0
100232,0
100241,1
100245,1
100253,1
100256,1
100271,0
100278,1
100280,1
100306,1
100311,1
100312,0
100330,1
100331,0
100352,1
100358,1
100367,1
100382,1
100384,1
100385,1
100386,0
100399,0
100404,1
100416,1
100422,0
100426,1
100438,1
100444,0
100445,1
100446,1
100447,0
100450,0
100466,0
100483,1
100484,0
100494,1
100510,1
100512,1
100517,1
100548,1
100551,0
100552,1
100553,1
100561,1
100568,0
100569,1
100591,1
100592,1
100602,0
100607,1
100613,0
100617,1
100618,1
100622,0
100625,1
100677,1
100699,1
100702,1
100711,1
100729,0
100740,0
100744,0
100745,1
100747,1
100751,1
100752,1
100753,1
100754,1
100760,0
100762,1
100763,1
100765,1
100770,1
100772,1
100777,1
100791,1
100792,1
100797,1
100823,1
100826,1
100830,1
100836,1
100872,0
100910,1
100913,0
100918,0
100931,1
100952,1
100953,0
100965,1
100970,0
100982,1
100983,1
100984,1
100987,0
100997,1
100998,1
101002,1
101005,1
101008,0
101020,1
101021,1
101024,0
101025,1
101026,1
101031,0
101041,0
101051,0
101055,1
101056,1
101057,0
101064,1
101079,1
101087,1
101090,0
101092,1
101097,1
101099,1
101107,1
101118,0
101125,1
101126,1
101128,1
101136,1
101140,1
101149,0
101160,0
101169,1
101181,1
101186,1
101190,1
101193,1
101194,1
101198,1
101200,1
101204,0
101211,0
101213,1
101223,1
101225,1
101237,0
101243,0
101244,1
101258,0
101259,1
101268,1
101269,1
101271,1
101279,0
101281,0
101287,1
101292,0
101294,1
101296,0
101297,1
101299,1
101301,1
101305,0
101308,1
101318,0
101327,1
101329,1
101332,0
101337,0
101343,1
101345,1
101346,1
101353,1
101354,1
101355,1
101356,0
101362,1
101363,0
101365,1
101366,0
101367,1
101368,1
101374,0
101380,1
101383,0
101398,1
101399,1
101401,1
101412,0
101426,1
101427,1
101428,0
101429,0
101434,1
101440,1
101448,1
101449,1
101465,1
101467,1
101472,1
101478,0
101497,0
101504,1
101547,1
101548,1
101555,1
101570,1
101572,1
101578,1
101580,1
101588,1
101602,1
101610,1
101614,0
101616,0
101643,1
101644,1
101649,1
101650,1
101665,0
101667,1
101669,1
101674,1
101675,1
101678,1
101682,1
101686,1
101697,0
101700,1
101711,0
101714,0
101715,1
101728,1
101732,0
101757,0
101758,1
101759,1
101762,1
101764,1
101780,1
101784,1
101789,0
101816,0
101819,1
101827,1
101863,1
101867,1
101870,1
101873,1
101878,1
101879,0
101880,1
101887,1
101897,1
101901,1
101903,1
101920,1
101921,0
101922,0
101961,0
101962,1
101971,1
101976,1
102002,1
102005,0
102007,1
102017,1
102019,1
102029,1
102051,1
102052,1
102054,1
102062,0
102067,0
102068,1
102070,1
102090,1
102092,1
102099,1
102100,1
102112,1
102113,1
102122,1
102123,1
102125,0
102126,0
102146,1
102147,1
102151,1
102158,1
102159,1
102162,1
102165,0
102166,0
102174,1
102193,1
102198,0
102205,0
102206,1
102218,0
102221,1
102230,0
102238,1
102248,1
102252,1
102259,0
102262,0
102273,0
102286,0
102293,1
102294,1
102296,1
102298,1
102303,1
102309,1
102315,1
102340,0
102342,0
102344,0
102346,1
102347,1
102374,0
102380,0
102387,1
102393,1
102403,1
102413,1
102414,1
102415,1
102416,1
102439,1
102441,0
102443,1
102444,1
102445,1
102448,0
102449,0
102450,1
102456,1
102458,1
102459,1
102465,1
102470,1
102471,0
102475,1
102476,0
102506,1
102509,1
102519,0
102522,1
102545,1
102549,1
102562,1
102563,0
102568,1
102582,1
102592,1
102597,1
102605,1
102614,1
102617,1
102634,1
102652,1
102655,1
102671,0
102694,0
102701,1
102703,0
102704,0
102713,1
102720,0
102731,1
102733,1
102749,1
102755,1
102763,1
102770,0
102772,1
102799,0
102838,1
102854,0
102862,1
102863,1
102867,0
102868,1
102878,1
102887,1
102898,1
102904,1
102912,1
102919,1
102927,1
102932,1
102933,1
102935,0
102958,0
102969,1
102971,1
102975,1
102979,0
102982,1
102987,1
102989,0
102995,0
102996,1
103000,0
103001,1
103004,0
103010,1
103025,0
103029,1
103046,1
103056,0
103062,1
103078,1
103083,1
103092,1
103096,1
